# of Function,# of instructions,Load Store Registers (L/S Fully Aligned),                            Packed Operand (Non-L/S Semi Aligned),Optimized Operand (Non-L/S Fully Aligned),                            Load Store Operand (L/S Fully Aligned),Packed Data (Non-L/S Semi Aligned),                            Optimized Data (Non-L/S Fully Aligned),Load Store Data (L/S Fully Aligned),Packed Program (Non-L/S Semi Aligned),                            Optimized Program (Non-L/S Fully Aligned),Load Store Program (L/S Fully Aligned),Packed Total (Non-L/S Semi Aligned),                            Optimized Total (Non-L/S Fully Aligned),Load Store Total (L/S Fully Aligned),                            Optimized vs Packed,Optimized vs Load Store,                            L,S,C
158,41143,512,13,11,9,31040,31224,19688,1234290,1069718,1011135.66612036,648185,566083,525255.833060179,0.873335544636176,1.07772815525333,526,607,585
245,62259,512,13,11,9,25936,26192,19568,1867770,1618734,1554512.10761144,959821,835559,796824.05380572,0.870536277076663,1.04861166779451,484,419,500
516,128331,1024,14,12,8,44888,45000,30408,4106592,3593268,3240754.47151501,2098184,1841634,1650785.2357575,0.877727596817057,1.11561089844308,840,729,807
246,60295,512,13,11,9,25000,25000,19432,1808850,1567670,1562466.67151638,929425,808835,800665.335758192,0.870253113484143,1.01020359428209,438,475,423
474,119073,512,14,11,9,34544,34544,21808,3810336,3095898,2879058.36075898,1939712,1582493,1461337.18037949,0.815839155503497,1.08290750502156,640,601,556
419,106697,512,13,11,10,31712,32240,27088,3200910,2774122,2674962.32549018,1632167,1419301,1364569.16274509,0.869580747558307,1.04010924381789,610,566,458
556,133269,512,13,11,8,22952,23336,17968,3998070,3464994,3154567.6340595,2021987,1755833,1595251.81702975,0.868370073595923,1.10066196524963,422,382,465
530,133414,512,14,11,10,37992,38440,29376,4269248,3468764,3506298.09857477,2172616,1772822,1782525.04928739,0.815984969272066,0.994556570584371,698,716,581
317,78385,512,13,11,8,20632,20840,17048,2351550,2038010,1825731.97853438,1196407,1039845,929913.989267189,0.869139849566243,1.11821632108088,410,330,305
298,76140,512,13,11,8,24544,24544,18280,2284200,1979640,1813492.6401993,1166644,1014364,925026.320099648,0.869471749736852,1.0965785275069,478,370,416
378,95941,512,13,11,9,29480,29832,23280,2878230,2494466,2378282.09829544,1468595,1277065,1212421.04914772,0.869582832571267,1.05331807039949,591,406,553
128,33693,512,13,11,8,29656,29816,16528,1010790,876018,800441.67930009,535051,467825,416748.839650045,0.874355902521442,1.12255861442313,532,571,457
224,54273,512,13,11,10,29824,30176,24576,1628190,1411098,1459637.39063526,843919,735725,754394.69531763,0.871795752909936,0.975252085634339,528,533,594
460,116299,1024,14,12,8,39056,39528,29512,3721568,3256372,2941756.45216035,1899840,1667714,1500390.22608018,0.877818132053226,1.11152017056054,711,693,711
350,88391,512,13,11,9,28960,29064,19552,2651730,2298166,2110912.66906984,1354825,1178147,1075008.33453492,0.869593489934124,1.09594220077345,517,487,591
198,49686,512,13,11,9,21448,21624,17504,1490580,1291836,1175634.23280235,766738,667542,605321.116401177,0.870625950455045,1.10278987782344,381,387,405
331,78193,512,13,11,9,22656,23024,19304,2345790,2033018,1903268.58317392,1195551,1039533,970938.291586961,0.869501175608569,1.07064785579825,456,369,316
395,101191,512,14,11,9,34872,35160,23016,3238112,2630966,2474636.02558431,1653928,1350643,1260334.01279216,0.816627446902163,1.07165480443377,654,606,567
147,38789,512,13,11,9,29048,29080,16632,1163670,1008514,934907.79846236,610883,533337,484085.89923118,0.873059161901706,1.1017404160027,454,631,557
536,141229,512,13,11,9,29416,29480,23440,4236870,3671954,3522859.14123233,2147851,1865457,1784869.57061617,0.868522537177858,1.0451503183821,528,512,549
147,38437,512,13,11,9,29328,29360,19552,1153110,999362,965003.868989205,605883,529041,502053.934494602,0.873173533503993,1.0537533194169,526,500,566
245,62314,512,13,11,8,30696,30952,16448,1869420,1620164,1437154.52185441,965406,841034,735025.260927206,0.871171299950487,1.14422462017029,563,601,415
350,86898,512,13,11,8,26368,26936,16984,2606940,2259348,2015376.85766858,1329838,1156610,1024672.42883429,0.869737516900555,1.1287607311888,535,386,455
463,118261,512,13,11,9,19648,20024,16696,3547830,3074786,2768534.24680948,1793563,1557417,1400963.12340474,0.868336936031798,1.11167594205837,361,347,365
112,26557,1024,14,12,0,40000,40432,21000,849824,743596,658348.03,464912,412230,350174.015,0.886683931582751,1.1772147056657,739,694,710
318,82081,512,13,11,9,23528,23832,18736,2462430,2134106,2002204.41587388,1254743,1090885,1019838.20793694,0.86940911405762,1.06966476791136,400,460,459
313,76774,256,13,10,9,16848,17096,14928,2303220,1842576,2042658.21269988,1168458,938384,1036257.10634994,0.803096046242141,0.905551329153549,329,260,301
384,100492,512,13,11,9,32176,33296,21120,3014760,2612792,2458150.98275052,1539556,1339692,1250195.49137526,0.870180753412023,1.07158601134155,612,553,608
361,85919,512,14,12,9,41960,42664,20184,2749408,2405732,2032153.01052299,1416664,1245530,1036260.50526149,0.879199302022215,1.20194680167387,801,688,753
486,120796,512,13,11,10,28552,29016,21992,3623880,3140696,2938917.91923316,1840492,1599364,1491450.95961658,0.868987205595026,1.07235440071805,526,502,519
74,18138,512,14,11,8,36736,36976,17384,580416,471588,444047.376585591,326944,272770,239407.688292796,0.834301898796124,1.13935355186423,683,594,702
253,66094,256,12,10,9,16032,16032,14480,1850632,1586256,1721892.51610047,941348,809160,875426.258050237,0.85957584230274,0.924304009114569,318,241,250
184,47358,256,13,10,9,17416,17416,13608,1420740,1136592,1257134.60032966,727786,585712,642175.300164829,0.804786022264786,0.912074942542424,322,312,265
341,82749,512,13,11,8,24624,24624,17400,2482470,2151474,1929828.42593997,1265859,1100361,982314.212969983,0.869260320462232,1.12017212565123,480,403,352
367,91401,512,13,11,8,28912,29368,17944,2742030,2376426,2113153.15587444,1399927,1217581,1074520.57793722,0.869746065330549,1.13313883884608,576,445,477
501,124094,1024,14,12,8,43904,44456,32192,3971008,3474632,3107923.74221681,2029408,1781772,1586153.87110841,0.877976237405194,1.12332859532404,848,750,665
175,44241,512,13,11,8,24056,24200,17304,1327230,1150266,1050488.52101261,687671,599333,542548.260506305,0.871540315063453,1.10466302009835,422,457,423
246,63871,512,13,11,8,20904,21208,16872,1916130,1660646,1511732.75451748,978969,851531,772738.377258742,0.869824274313078,1.10196545824574,361,428,351
508,126801,512,13,11,9,24688,24768,20984,3804030,3296826,3141147.79415449,1926703,1673181,1591557.89707725,0.868416668266982,1.05128503529318,440,438,460
481,123722,256,13,10,9,17752,17928,15280,3711660,2969328,3075455.73569933,1873582,1502592,1553007.86784967,0.80198891748533,0.967536630758044,353,296,237
257,64198,512,13,11,9,26640,26904,21248,1925940,1669148,1569262.45976017,989610,861478,805879.229880087,0.870522731176928,1.06899144196604,503,445,461
542,133211,256,13,10,9,16920,17504,15864,3996330,3197064,3504785.82044825,2015085,1616036,1768256.91022412,0.801969147703447,0.913914709257474,345,272,264
449,114857,256,13,10,10,17816,17888,15976,3445710,2756568,3082028.35911509,1740671,1396172,1556990.17955755,0.802088390051882,0.896712142652533,331,282,348
133,36398,512,13,11,8,25368,25664,18056,1091940,946348,868994.504451378,571338,498838,452553.252225689,0.873104887124609,1.10227469926838,446,478,468
446,105298,512,13,11,9,31760,32120,19880,3158940,2737748,2524506.53131357,1611230,1400994,1282133.26565679,0.869518318303408,1.09270544453296,575,572,571
255,66544,512,14,11,8,35112,35976,17832,2129408,1730144,1565551.07379795,1099816,901048,800607.536898973,0.819271587247321,1.12545530546723,693,544,637
197,47749,512,13,11,8,23344,23456,15856,1432470,1241474,1124647.66974158,739579,644193,578179.83487079,0.871026624606702,1.11417410492008,458,411,278
255,59235,512,13,11,10,31160,31208,24040,1777050,1540110,1549187.15208422,919685,801263,798633.576042108,0.871236347227583,1.00329240347109,559,557,551
189,48854,1024,14,12,6,45360,45392,28048,1563328,1367912,1214225.90671642,827024,729348,635160.953358209,0.881894600398537,1.14828847104629,845,774,746
427,112650,512,13,11,8,19280,19520,16280,3379500,2928900,2661940.89859674,1709030,1483970,1347250.44929837,0.868311264284419,1.10148042687448,338,380,328
476,117929,1024,14,12,6,45696,45696,28272,3773728,3302012,2927902.28211765,1932560,1696702,1492223.14105882,0.87795566502463,1.13702967962023,830,826,740
341,85144,256,12,10,9,15200,15728,13544,2384032,2043456,2220051.22663834,1207216,1037456,1123569.61331917,0.859378934672834,0.923357117976179,270,298,290
230,62717,512,13,11,9,24704,24784,19296,1881510,1630642,1554831.29760389,965459,840105,796711.648801947,0.870161239369046,1.05446556638566,433,462,442
383,96861,512,13,11,9,22520,22624,18768,2905830,2518386,2332077.39829068,1475435,1281817,1184806.69914534,0.868772260384226,1.08187858907672,446,352,340
410,104675,512,13,11,9,23400,23768,18016,3140250,2721550,2531386.64256768,1593525,1384543,1283709.32128384,0.868855524701526,1.07854868469391,430,430,391
447,107925,512,13,11,9,31360,31408,20352,3237750,2806050,2550199.38536339,1650235,1434433,1295451.6926817,0.869229533975464,1.10728405243008,582,498,602
458,116338,512,13,11,9,30168,30184,22272,3490140,3024788,2905605.29922756,1775238,1542578,1475074.64961378,0.868941516574116,1.04576266726833,512,547,631
199,46428,256,13,10,9,20336,20344,16824,1392840,1114272,1198056.52829143,716756,577480,615852.264145714,0.805685616862642,0.937692420114842,399,350,247
474,121583,512,13,11,9,28696,29680,20600,3647490,3161158,2852754.07017967,1852441,1610259,1446977.03508983,0.869263312569739,1.11284350819018,537,518,526
302,76246,512,13,11,9,26464,26904,20968,2287380,1982396,1911953.52714994,1170154,1018102,976944.763574972,0.870058129100956,1.04212851940003,496,480,419
85,22384,512,13,11,10,30016,30144,23712,671520,581984,648072.97265978,365776,321136,347748.48632989,0.877958094571541,0.923472028273204,549,506,560
